Name,Brand,Scent Profile,Likes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
le-male-le-parfum,jean-paul-gaultier,,13406,,,,,men,4.6,,,,,,,,
light-blue-eau-intense-pour-homme,dolce-gabbana,,7990,,,,,men,4.14,,,,,,,,
light-blue-forever-pour-homme,dolce-gabbana,,3004,,,,,men,4.31,,,,,,,,
light-blue-pour-homme,dolce-gabbana,,6384,,,,,men,3.92,,,,,,,,
light-blue-pour-homme-italian-love,dolce-gabbana,,1279,,,,,men,4.35,,,,,,,,
lost-cherry,tom-ford,,11354,,,,,unisex,4.13,,,,,,,,
luna-rossa,prada,,3893,,,,,men,4.13,,,,,,,,
luna-rossa-black,prada,,5099,,,,,men,4.36,,,,,,,,
luna-rossa-carbon,prada,,5969,,,,,men,4.3,,,,,,,,
luna-rossa-ocean,prada,,3541,,,,,men,4.01,,,,,,,,
luna-rossa-ocean-eau-de-parfum,prada,,1402,,,,,men,4.16,,,,,,,,
luna-rossa-sport,prada,,2211,,,,,men,4.17,,,,,,,,
mandarino-di-amalfi,tom-ford,,2731,,,,,unisex,4.16,,,,,,,,
millesime-imperial,creed,,5616,,,,,unisex,4.24,,,,,,,,
neroli-portofino,tom-ford,,6824,,,,,unisex,3.95,,,,,,,,
neroli-portofino-acqua,tom-ford,,1107,,,,,unisex,3.93,,,,,,,,
noir,tom-ford,,3786,,,,,men,4.04,,,,,,,,
noir-anthracite,tom-ford,,1376,,,,,men,3.98,,,,,,,,
noir-de-noir,tom-ford,,7481,,,,,unisex,4.32,,,,,,,,
noir-extreme,tom-ford,,9120,,,,,men,4.43,,,,,,,,
noir-extreme-parfum,tom-ford,,1627,,,,,men,4.37,,,,,,,,
oajan,parfums-de-marly,,4250,,,,,unisex,4.43,,,,,,,,
ombre-leather-2018,tom-ford,,11278,,,,,unisex,4.34,,,,,,,,
ombre-leather-parfum,tom-ford,,2667,,,,,unisex,4.32,,,,,,,,
original-santal,creed,,2595,,,,,unisex,4.06,,,,,,,,
original-vetiver,creed,,2788,,,,,unisex,4.21,,,,,,,,
oud-eau-de-parfum,acqua-di-parma,,1024,,,,,unisex,4.33,,,,,,,,
oud-ispahan,dior,,2113,,,,,unisex,4.09,,,,,,,,
oud-silk-mood,maison-francis-kurkdjian,,1266,,,,,unisex,3.85,,,,,,,,
paris-deauville,chanel,,1108,,,,,unisex,4.15,,,,,,,,
paris-venise,chanel,,1543,,,,,unisex,4.27,,,,,,,,
pegasus,parfums-de-marly,,4720,,,,,men,4.11,,,,,,,,
pegasus-exclusif,parfums-de-marly,,1259,,,,,men,4.26,,,,,,,,
percival,parfums-de-marly,,3506,,,,,unisex,4.23,,,,,,,,
perseus,parfums-de-marly,,1082,,,,,men,3.89,,,,,,,,
pour-monsieur,chanel,,2453,,,,,men,4.27,,,,,,,,
prada-amber-pour-homme-prada-man,prada,,4980,,,,,men,4.23,,,,,,,,
prada-l-homme,prada,,11046,,,,,men,4.43,,,,,,,,
prada-l-homme-intense,prada,,4326,,,,,men,4.51,,,,,,,,
prada-l-homme-l-eau,prada,,2365,,,,,men,4.42,,,,,,,,
rose-prick,tom-ford,,2470,,,,,unisex,3.68,,,,,,,,
royal-mayfair,creed,,1467,,,,,unisex,4.11,,,,,,,,
royal-oud,creed,,4414,,,,,unisex,4.37,,,,,,,,
royal-water,creed,,1574,,,,,unisex,4.07,,,,,,,,
sauvage,dior,,23727,,,,,men,3.88,,,,,,,,
sauvage-eau-de-parfum,dior,,9248,,,,,men,4.19,,,,,,,,
sauvage-elixir,dior,,11229,,,,,men,4.33,,,,,,,,
sauvage-parfum,dior,,3846,,,,,men,4.04,,,,,,,,
scandal-pour-homme,jean-paul-gaultier,,4284,,,,,men,4.29,,,,,,,,
scandal-pour-homme-le-parfum,jean-paul-gaultier,,1679,,,,,men,4.43,,,,,,,,
sedley,parfums-de-marly,,3060,,,,,unisex,4.23,,,,,,,,
silver-mountain-water,creed,,7538,,,,,unisex,4.18,,,,,,,,
soleil-blanc,tom-ford,,5925,,,,,unisex,4.09,,,,,,,,
soleil-brulant,tom-ford,,1043,,,,,unisex,3.72,,,,,,,,
soleil-neige,tom-ford,,2082,,,,,unisex,4.12,,,,,,,,
spice-and-wood,creed,,1231,,,,,unisex,4.32,,,,,,,,
spicebomb,viktor-rolf,,11529,,,,,men,4.3,,,,,,,,
spicebomb-infrared,viktor-rolf,,2021,,,,,men,4.32,,,,,,,,
spicebomb-night-vision-eau-de-parfum,viktor-rolf,,1592,,,,,men,4.21,,,,,,,,
spicebomb-night-vision-eau-de-toilette,viktor-rolf,,1238,,,,,men,3.68,,,,,,,,
sublime-vanille,creed,,1078,,,,,unisex,4.02,,,,,,,,
tabarome,creed,,1168,,,,,men,4.01,,,,,,,,
the-dreamer,versace,,4086,,,,,men,4.08,,,,,,,,
the-one-for-men,dolce-gabbana,,12386,,,,,men,4.25,,,,,,,,
the-one-for-men-eau-de-parfum,dolce-gabbana,,11353,,,,,men,4.49,,,,,,,,
the-one-for-men-eau-de-parfum-intense,dolce-gabbana,,1389,,,,,men,4.27,,,,,,,,
the-one-gentleman,dolce-gabbana,,1561,,,,,men,3.91,,,,,,,,
the-one-royal-night,dolce-gabbana,,1123,,,,,men,4.36,,,,,,,,
tobacco-oud,tom-ford,,3433,,,,,unisex,4.2,,,,,,,,
tobacco-vanille,tom-ford,,22332,,,,,unisex,4.23,,,,,,,,
tom-ford-for-men,tom-ford,,2313,,,,,men,4.04,,,,,,,,
tubereuse-nue,tom-ford,,1010,,,,,unisex,3.71,,,,,,,,
tuscan-leather,tom-ford,,8561,,,,,unisex,4.27,,,,,,,,
ultra-male,jean-paul-gaultier,,12479,,,,,men,4.44,,,,,,,,
vanilla-diorama,dior,,1739,,,,,unisex,4.13,,,,,,,,
vanilla-sex,tom-ford,,1539,,,,,unisex,3.11,,,,,,,,
vanille-fatale,tom-ford,,2620,,,,,unisex,4.11,,,,,,,,
venetian-bergamot,tom-ford,,1357,,,,,unisex,4.16,,,,,,,,
versace-l-homme,versace,,2236,,,,,men,3.91,,,,,,,,
versace-man,versace,,1748,,,,,men,4.26,,,,,,,,
versace-man-eau-fraiche,versace,,13065,,,,,men,4.15,,,,,,,,
versace-pour-homme,versace,,16436,,,,,men,4.29,,,,,,,,
versace-pour-homme-dylan-blue,versace,,15936,,,,,men,4.15,,,,,,,,
versace-pour-homme-oud-noir,versace,,3034,,,,,men,4.24,,,,,,,,
vetiver-d-hiver-vetiver-babylone,giorgio-armani,,1098,,,,,men,4.25,,,,,,,,
viking,creed,,3188,,,,,men,3.95,,,,,,,,
virgin-island-water,creed,,6903,,,,,unisex,4.31,,,,,,,,
