Perfume,Brand,Scent Profile,Votes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating Value,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
club de nuit blue iconic,armaf,,1260,,,,,men,4.33,,,,citrus,woody,warm spicy,amber,aromatic
club de nuit intense,armaf,,2757,,,,,women,4.12,,,,rose,fresh spicy,warm spicy,patchouli,oud
club de nuit intense man,armaf,,16740,,,,,men,4.16,,,,citrus,fruity,leather,smoky,woody
club de nuit intense man limited edition parfum,armaf,,1476,,,,,men,4.53,,,,citrus,musky,amber,sweet,fresh spicy
club de nuit intense man parfum,armaf,,1984,,,,,men,4.37,,,,citrus,fruity,leather,smoky,woody
club de nuit milestone,armaf,,3026,,,,,unisex,4.01,,,,marine,aromatic,woody,powdery,musky
club de nuit sillage,armaf,,3349,,,,,unisex,3.95,,,,citrus,woody,musky,powdery,aromatic
club de nuit untold,armaf,,1345,,,,,unisex,4.19,,,,woody,amber,warm spicy,metallic,white floral
club de nuit urban elixir,armaf,,1078,,,,,men,4.41,,,,amber,aromatic,citrus,fresh spicy,musky
club de nuit white imperiale,armaf,,822,,,,,women,4.17,,,,rose,floral,powdery,musky,vanilla
club de nuit woman,armaf,,1663,,,,,women,4.12,,,,citrus,patchouli,woody,rose,fresh spicy
coco eau de parfum,chanel,,12365,,,,,women,4.26,,,,amber,warm spicy,sweet,powdery,woody
coco eau de toilette,chanel,,2412,,,,,women,4.36,,,,amber,warm spicy,sweet,powdery,woody
coco mademoiselle,chanel,,29283,,,,,women,4.12,,,,citrus,woody,patchouli,sweet,white floral
coco mademoiselle eau de toilette,chanel,,5748,,,,,women,4.2,,,,citrus,patchouli,woody,fresh spicy,earthy
coco mademoiselle intense,chanel,,4743,,,,,women,4.27,,,,citrus,vanilla,patchouli,sweet,woody
coco mademoiselle l eau privee,chanel,,1027,,,,,women,4.04,,,,citrus,rose,musky,white floral,powdery
coco mademoiselle parfum,chanel,,3331,,,,,women,4.26,,,,citrus,woody,patchouli,rose,fresh spicy
coco noir,chanel,,10815,,,,,women,4.12,,,,warm spicy,woody,citrus,fresh spicy,amber
coffee break,maison martin margiela,,4100,,,,,unisex,4.01,,,,lavender,vanilla,coffee,warm spicy,aromatic
colonia club,acqua di parma,,1253,,,,,unisex,4.02,,,,aromatic,citrus,green,fresh spicy,lavender
colonia intensa,acqua di parma,,1936,,,,,men,4.26,,,,citrus,warm spicy,aromatic,woody,fresh spicy
colonia intensa oud eau de cologne concentree,acqua di parma,,993,,,,,men,4.35,,,,oud,leather,citrus,aromatic,animalic
colonia leather eau de cologne concentree,acqua di parma,,1486,,,,,men,4.42,,,,leather,woody,animalic,citrus,smoky
colonia oud,acqua di parma,,949,,,,,men,4.22,,,,woody,citrus,oud,leather,aromatic
coromandel eau de parfum,chanel,,3002,,,,,unisex,4.38,,,,amber,woody,warm spicy,patchouli,balsamic
costa azzurra,tom ford,,1784,,,,,unisex,3.96,,,,aromatic,woody,citrus,fresh spicy,marine
costa azzurra parfum,tom ford,,759,,,,,unisex,4.22,,,,woody,aromatic,amber,citrus,fresh spicy
craze,armaf,,1445,,,,,men,3.95,,,,almond,vanilla,powdery,nutty,sweet
cristalle eau de parfum,chanel,,2019,,,,,women,4.13,,,,earthy,woody,mossy,aromatic,fruity
